,_id,iterationName,eventType,finalCount,gameID,workerID,assignmentID,hitID,prolificID,studyID,sessionID,score,totalScore,trialNum,sectionTrial,cardinality,base,target,response,correct,take,distractions,trialStartTime,takeStartTime,trialTime,takeTime,RT,writingTime,initTime,endTime,gender,age,comments,understood,totalLength,distracted,distractedGame,failedGame,failedOutlier,complete,nonsenseGame
2813,620c1c10abf9934721172470,run1,quiz,False,G38,,,,5c851854f9d18a00165561b6,61df8999cc7c1c6984f5f11d,620c19b64c6867defd6994b5,$0.63,63.0,21.0,1.0,1.0,4,ha,ha,1.0,0.0,{},1644960777140.0,1644960777140.0,2844.0,2844.0,1715,1129.0,1644960584096.0,1644960779984.0,,,,,,False,False,False,False,True,False
2814,620c1c10abf9934721172471,run1,quiz,False,G36,,,,5e6a3e3d265930022e81c70b,61df8999cc7c1c6984f5f11d,620c1a61499992ed14a40bdc,$1.23,123.0,41.0,6.0,6.0,5,no-tu,notu,1.0,0.0,{},1644960779894.0,1644960779894.0,4331.0,4331.0,1621,2710.0,1644960501094.0,1644960784225.0,,,,,,False,False,False,False,True,False
2815,620c1c12abf9934721172472,run1,quiz,False,G34,,,,5c7fbdeecd2fed00106e918a,61df8999cc7c1c6984f5f11d,620c1a75f64f7e941685034d,$1.5,150.0,50.0,6.0,6.0,2,tu-ho,tuho,1.0,0.0,{},1644960782573.0,1644960782573.0,4240.0,4240.0,2500,1740.0,1644960489296.0,1644960786813.0,,,,,,False,False,False,False,True,False
2816,620c1c14abf9934721172473,run1,tutorial,False,G35,,,,5a74e93feea3d300016dd8ca,61df8999cc7c1c6984f5f11d,620c1a336fb6920b3ee0dbdb,$1.29,129.0,44.0,9.0,9.0,3,nu-nu,nunu,1.0,0.0,{},1644960777700.0,1644960777700.0,10389.0,10389.0,9461,928.0,1644960481079.0,1644960788089.0,,,,,,False,False,False,False,True,False
2817,620c1c14abf9934721172474,run1,quiz,False,G37,,,,5ae203d63cb5b0000185ccc7,61df8999cc7c1c6984f5f11d,620c1a37da7f4e2ae55104ba,$1.02,102.0,34.0,7.0,7.0,4,he-ti,heti,1.0,0.0,{},1644960784750.0,1644960784750.0,3593.0,3593.0,929,2664.0,1644960576637.0,1644960788343.0,,,,,,False,False,False,False,True,False
2818,620c1c14abf9934721172475,run1,quiz,False,G33,,,,60a78f10810fb961978e053d,61df8999cc7c1c6984f5f11d,620c1a4e4fbad27346561f3f,$1.02,102.0,34.0,7.0,7.0,4,ti-nu,tinu,1.0,0.0,{},1644960782201.0,1644960782201.0,5399.0,5399.0,2476,2923.0,1644960456166.0,1644960787600.0,,,,,,False,False,False,False,True,False
2819,620c1c14abf9934721172476,run1,quiz,False,G38,,,,5c851854f9d18a00165561b6,61df8999cc7c1c6984f5f11d,620c19b64c6867defd6994b5,$0.66,66.0,22.0,2.0,2.0,4,to,to,1.0,0.0,{},1644960780986.0,1644960780986.0,2894.0,2894.0,1440,1454.0,1644960584096.0,1644960783880.0,,,,,,False,False,False,False,True,False
2820,620c1c15abf9934721172477,run1,quiz,False,G36,,,,5e6a3e3d265930022e81c70b,61df8999cc7c1c6984f5f11d,620c1a61499992ed14a40bdc,$1.26,126.0,42.0,7.0,7.0,5,no-hi,nohi,1.0,0.0,{},1644960785228.0,1644960785228.0,3991.0,3991.0,1688,2303.0,1644960501094.0,1644960789219.0,,,,,,False,False,False,False,True,False
2821,620c1c16abf9934721172478,run1,quiz,False,G34,,,,5c7fbdeecd2fed00106e918a,61df8999cc7c1c6984f5f11d,620c1a75f64f7e941685034d,$1.53,153.0,51.0,7.0,7.0,2,tu-ho-se,tuhose,1.0,0.0,{},1644960787819.0,1644960787819.0,2394.0,2394.0,966,1428.0,1644960489296.0,1644960790213.0,,,,,,False,False,False,False,True,False
2822,620c1c17abf9934721172479,run1,quiz,False,G35,,,,5a74e93feea3d300016dd8ca,61df8999cc7c1c6984f5f11d,620c1a336fb6920b3ee0dbdb,$1.32,132.0,44.0,9.0,9.0,3,nu-nu,nunu,1.0,0.0,{},1644960789113.0,1644960789113.0,2101.0,2101.0,1161,940.0,1644960481079.0,1644960791214.0,,,,,,False,False,False,False,True,False
2823,620c1c18abf993472117247a,run1,quiz,False,G38,,,,5c851854f9d18a00165561b6,61df8999cc7c1c6984f5f11d,620c19b64c6867defd6994b5,$0.69,69.0,23.0,3.0,3.0,4,ne,ne,1.0,0.0,{},1644960784882.0,1644960784882.0,3030.0,3030.0,1134,1896.0,1644960584096.0,1644960787912.0,,,,,,False,False,False,False,True,False
2824,620c1c19abf993472117247b,run1,quiz,False,G34,,,,5c7fbdeecd2fed00106e918a,61df8999cc7c1c6984f5f11d,620c1a75f64f7e941685034d,$1.56,156.0,52.0,8.0,8.0,2,ka,ka,1.0,0.0,{},1644960791219.0,1644960791219.0,1874.0,1874.0,1239,635.0,1644960489296.0,1644960793093.0,,,,,,False,False,False,False,True,False
2825,620c1c19abf993472117247c,run1,quiz,False,G36,,,,5e6a3e3d265930022e81c70b,61df8999cc7c1c6984f5f11d,620c1a61499992ed14a40bdc,$1.29,129.0,43.0,8.0,8.0,5,no-ka,noka,1.0,0.0,{},1644960790222.0,1644960790222.0,3151.0,3151.0,1360,1791.0,1644960501094.0,1644960793373.0,,,,,,False,False,False,False,True,False
2826,620c1c1babf993472117247d,run1,quiz,False,G38,,,,5c851854f9d18a00165561b6,61df8999cc7c1c6984f5f11d,620c19b64c6867defd6994b5,$0.72,72.0,24.0,4.0,4.0,4,ku,ku,1.0,0.0,{},1644960788915.0,1644960788915.0,2373.0,2373.0,1089,1284.0,1644960584096.0,1644960791288.0,,,,,,False,False,False,False,True,False
2827,620c1c1cabf993472117247e,run1,quiz,False,G35,,,,5a74e93feea3d300016dd8ca,61df8999cc7c1c6984f5f11d,620c1a336fb6920b3ee0dbdb,$1.35,135.0,45.0,1.0,1.0,3,sa,sa,1.0,0.0,{},1644960792230.0,1644960792230.0,4384.0,4384.0,3770,614.0,1644960481079.0,1644960796614.0,,,,,,False,False,False,False,True,False
2828,620c1c1cabf993472117247f,run1,quiz,False,G34,,,,5c7fbdeecd2fed00106e918a,61df8999cc7c1c6984f5f11d,620c1a75f64f7e941685034d,$1.59,159.0,53.0,9.0,9.0,2,ka-se,kase,1.0,0.0,{},1644960794098.0,1644960794098.0,2489.0,2489.0,1256,1233.0,1644960489296.0,1644960796587.0,,,,,,False,False,False,False,True,False
2829,620c1c1eabf9934721172480,run1,quiz,False,G35,,,,5a74e93feea3d300016dd8ca,61df8999cc7c1c6984f5f11d,620c1a336fb6920b3ee0dbdb,$1.38,138.0,46.0,2.0,2.0,3,ke,ke,1.0,0.0,{},1644960797621.0,1644960797621.0,908.0,908.0,458,450.0,1644960481079.0,1644960798529.0,,,,,,False,False,False,False,True,False
2830,620c1c1fabf9934721172481,run1,quiz,False,G38,,,,5c851854f9d18a00165561b6,61df8999cc7c1c6984f5f11d,620c19b64c6867defd6994b5,$0.75,75.0,25.0,5.0,5.0,4,ku-ha,kuha,1.0,0.0,{},1644960792290.0,1644960792290.0,3462.0,3462.0,1885,1577.0,1644960584096.0,1644960795752.0,,,,,,False,False,False,False,True,False
2831,620c1c20abf9934721172482,run1,quiz,False,G35,,,,5a74e93feea3d300016dd8ca,61df8999cc7c1c6984f5f11d,620c1a336fb6920b3ee0dbdb,$1.41,141.0,47.0,3.0,3.0,3,nu,nu,1.0,0.0,{},1644960799550.0,1644960799550.0,1000.0,1000.0,362,638.0,1644960481079.0,1644960800550.0,,,,,,False,False,False,False,True,False
2832,620c1c22abf9934721172483,run1,tutorial,False,G34,,,,5c7fbdeecd2fed00106e918a,61df8999cc7c1c6984f5f11d,620c1a75f64f7e941685034d,$1.59,159.0,54.0,0.0,10.0,2,ka-ho,kaho,1.0,0.0,{},1644960797593.0,1644960797593.0,4363.0,4363.0,2003,2360.0,1644960489296.0,1644960801956.0,,,,,,False,False,False,False,True,False
2833,620c1c22abf9934721172484,run1,quiz,False,G35,,,,5a74e93feea3d300016dd8ca,61df8999cc7c1c6984f5f11d,620c1a336fb6920b3ee0dbdb,$1.44,144.0,48.0,4.0,4.0,3,nu-sa,nusa,1.0,0.0,{},1644960801571.0,1644960801571.0,1164.0,1164.0,277,887.0,1644960481079.0,1644960802735.0,,,,,,False,False,False,False,True,False
2834,620c1c22abf9934721172485,run1,tutorial,False,G36,,,,5e6a3e3d265930022e81c70b,61df8999cc7c1c6984f5f11d,620c1a61499992ed14a40bdc,$1.29,129.0,44.0,9.0,9.0,5,no-se,nose,1.0,0.0,{},1644960794375.0,1644960794375.0,8262.0,8262.0,6093,2169.0,1644960501094.0,1644960802637.0,,,,,,False,False,False,False,True,False
2835,620c1c24abf9934721172486,run1,quiz,False,G38,,,,5c851854f9d18a00165561b6,61df8999cc7c1c6984f5f11d,620c19b64c6867defd6994b5,$0.78,78.0,26.0,6.0,6.0,4,ku-to,kuto,1.0,0.0,{},1644960796757.0,1644960796757.0,3323.0,3323.0,1638,1685.0,1644960584096.0,1644960800080.0,,,,,,False,False,False,False,True,False
2836,620c1c25abf9934721172487,run1,quiz,False,G35,,,,5a74e93feea3d300016dd8ca,61df8999cc7c1c6984f5f11d,620c1a336fb6920b3ee0dbdb,$1.47,147.0,49.0,5.0,5.0,3,nu-ke,nuke,1.0,0.0,{},1644960803750.0,1644960803750.0,1668.0,1668.0,806,862.0,1644960481079.0,1644960805418.0,,,,,,False,False,False,False,True,False
2837,620c1c27abf9934721172488,run1,quiz,False,G36,,,,5e6a3e3d265930022e81c70b,61df8999cc7c1c6984f5f11d,620c1a61499992ed14a40bdc,$1.32,132.0,44.0,9.0,9.0,5,no-se,nose,1.0,0.0,{},1644960803639.0,1644960803639.0,3692.0,3692.0,1843,1849.0,1644960501094.0,1644960807331.0,,,,,,False,False,False,False,True,False
2838,620c1c28abf9934721172489,run1,quiz,False,G34,,,,5c7fbdeecd2fed00106e918a,61df8999cc7c1c6984f5f11d,620c1a75f64f7e941685034d,$1.62,162.0,54.0,0.0,10.0,2,ka-ho,kaho,1.0,0.0,{},1644960802960.0,1644960802960.0,5298.0,5298.0,3666,1632.0,1644960489296.0,1644960808258.0,,,,,,False,False,False,False,True,False
2839,620c1c28abf993472117248a,run1,tutorial,False,G33,,,,60a78f10810fb961978e053d,61df8999cc7c1c6984f5f11d,620c1a4e4fbad27346561f3f,$1.02,102.0,35.0,8.0,8.0,4,he-ti,heti,1.0,0.0,{},1644960788606.0,1644960788606.0,18988.0,18988.0,15542,3446.0,1644960456166.0,1644960807594.0,,,,,,False,False,False,False,True,False
2840,620c1c28abf993472117248b,run1,quiz,False,G35,,,,5a74e93feea3d300016dd8ca,61df8999cc7c1c6984f5f11d,620c1a336fb6920b3ee0dbdb,$1.5,150.0,50.0,6.0,6.0,3,ke-nu,kenu,1.0,0.0,{},1644960806438.0,1644960806438.0,2420.0,2420.0,757,1663.0,1644960481079.0,1644960808858.0,,,,,,False,False,False,False,True,False
2841,620c1c2babf993472117248c,run1,quiz,False,G36,,,,5e6a3e3d265930022e81c70b,61df8999cc7c1c6984f5f11d,620c1a61499992ed14a40bdc,$1.35,135.0,45.0,1.0,1.0,5,tu,tu,1.0,0.0,{},1644960808333.0,1644960808333.0,2902.0,2902.0,1952,950.0,1644960501094.0,1644960811235.0,,,,,,False,False,False,False,True,False
2842,620c1c2babf993472117248d,run1,quiz,False,G35,,,,5a74e93feea3d300016dd8ca,61df8999cc7c1c6984f5f11d,620c1a336fb6920b3ee0dbdb,$1.53,153.0,51.0,7.0,7.0,3,ke-nu-sa,kenusa,1.0,0.0,{},1644960809871.0,1644960809871.0,1562.0,1562.0,642,920.0,1644960481079.0,1644960811434.0,,,,,,False,False,False,False,True,False
2843,620c1c2cabf993472117248e,run1,quiz,True,G34,,,,5c7fbdeecd2fed00106e918a,61df8999cc7c1c6984f5f11d,620c1a75f64f7e941685034d,$1.65,165.0,55.0,1.0,1.0,2,se,se,1.0,0.0,{},1644960809263.0,1644960809263.0,2872.0,2872.0,1187,1685.0,1644960489296.0,1644960812135.0,,,,,,False,False,False,False,True,False
2844,620c1c2dabf993472117248f,run1,tutorial,False,G37,,,,5ae203d63cb5b0000185ccc7,61df8999cc7c1c6984f5f11d,620c1a37da7f4e2ae55104ba,$1.02,102.0,35.0,8.0,8.0,4,no-he,nohe,1.0,0.0,{},1644960789345.0,1644960789345.0,24425.0,24425.0,2325,22100.0,1644960576637.0,1644960813770.0,,,,,,False,False,False,False,True,False
2845,620c1c2eabf9934721172490,run1,quiz,False,G33,,,,60a78f10810fb961978e053d,61df8999cc7c1c6984f5f11d,620c1a4e4fbad27346561f3f,$1.05,105.0,35.0,8.0,8.0,4,he-ti,heti,1.0,0.0,{},1644960808599.0,1644960808599.0,5017.0,5017.0,1789,3228.0,1644960456166.0,1644960813616.0,,,,,,False,False,False,False,True,False
2846,620c1c2eabf9934721172491,run1,quiz,False,G35,,,,5a74e93feea3d300016dd8ca,61df8999cc7c1c6984f5f11d,620c1a336fb6920b3ee0dbdb,$1.56,156.0,52.0,8.0,8.0,3,ke-nu-ke,kenuke,1.0,0.0,{},1644960812448.0,1644960812448.0,2094.0,2094.0,508,1586.0,1644960481079.0,1644960814542.0,,,,,,False,False,False,False,True,False
2847,620c1c2eabf9934721172492,run1,quiz,False,G36,,,,5e6a3e3d265930022e81c70b,61df8999cc7c1c6984f5f11d,620c1a61499992ed14a40bdc,$1.38,138.0,46.0,2.0,2.0,5,hi,hi,1.0,0.0,{},1644960812238.0,1644960812238.0,2341.0,2341.0,1429,912.0,1644960501094.0,1644960814579.0,,,,,,False,False,False,False,True,False
2848,620c1c2fabf9934721172493,run1,quiz,True,G34,,,,5c7fbdeecd2fed00106e918a,61df8999cc7c1c6984f5f11d,620c1a75f64f7e941685034d,$1.68,168.0,56.0,2.0,2.0,2,ho,ho,1.0,0.0,{},1644960813140.0,1644960813140.0,2100.0,2100.0,1110,990.0,1644960489296.0,1644960815240.0,,,,,,False,False,False,False,True,False
2849,620c1c30abf9934721172494,run1,tutorial,False,G38,,,,5c851854f9d18a00165561b6,61df8999cc7c1c6984f5f11d,620c19b64c6867defd6994b5,$0.78,78.0,27.0,7.0,7.0,4,ku-ne,kune,1.0,0.0,{},1644960801082.0,1644960801082.0,11157.0,11157.0,8928,2229.0,1644960584096.0,1644960812239.0,,,,,,False,False,False,False,True,False
2850,620c1c30abf9934721172495,run1,quiz,False,G35,,,,5a74e93feea3d300016dd8ca,61df8999cc7c1c6984f5f11d,620c1a336fb6920b3ee0dbdb,$1.59,159.0,53.0,9.0,9.0,3,nu-nu,nunu,1.0,0.0,{},1644960815552.0,1644960815552.0,1273.0,1273.0,201,1072.0,1644960481079.0,1644960816825.0,,,,,,False,False,False,False,True,False
2851,620c1c31abf9934721172496,run1,quiz,False,G37,,,,5ae203d63cb5b0000185ccc7,61df8999cc7c1c6984f5f11d,620c1a37da7f4e2ae55104ba,$1.05,105.0,35.0,8.0,8.0,4,no-he,nohe,1.0,0.0,{},1644960814772.0,1644960814772.0,2647.0,2647.0,967,1680.0,1644960576637.0,1644960817419.0,,,,,,False,False,False,False,True,False
2852,620c1c31abf9934721172497,run1,quiz,False,G36,,,,5e6a3e3d265930022e81c70b,61df8999cc7c1c6984f5f11d,620c1a61499992ed14a40bdc,$1.41,141.0,47.0,3.0,3.0,5,ka,ka,1.0,0.0,{},1644960815581.0,1644960815581.0,2162.0,2162.0,892,1270.0,1644960501094.0,1644960817743.0,,,,,,False,False,False,False,True,False
2853,620c1c32abf9934721172498,run1,quiz,True,G34,,,,5c7fbdeecd2fed00106e918a,61df8999cc7c1c6984f5f11d,620c1a75f64f7e941685034d,$1.71,171.0,57.0,3.0,3.0,2,ho-se,hose,1.0,0.0,{},1644960816244.0,1644960816244.0,1970.0,1970.0,854,1116.0,1644960489296.0,1644960818214.0,,,,,,False,False,False,False,True,False
2854,620c1c33abf9934721172499,run1,quiz,False,G33,,,,60a78f10810fb961978e053d,61df8999cc7c1c6984f5f11d,620c1a4e4fbad27346561f3f,$1.08,108.0,36.0,1.0,1.0,4,sa,sa,1.0,0.0,{},1644960814623.0,1644960814623.0,3683.0,3683.0,1589,2094.0,1644960456166.0,1644960818306.0,,,,,,False,False,False,False,True,False
2855,620c1c34abf993472117249a,run1,quiz,False,G36,,,,5e6a3e3d265930022e81c70b,61df8999cc7c1c6984f5f11d,620c1a61499992ed14a40bdc,$1.44,144.0,48.0,4.0,4.0,5,se,se,1.0,0.0,{},1644960818746.0,1644960818746.0,2131.0,2131.0,1384,747.0,1644960501094.0,1644960820877.0,,,,,,False,False,False,False,True,False
2856,620c1c35abf993472117249b,run1,quiz,True,G34,,,,5c7fbdeecd2fed00106e918a,61df8999cc7c1c6984f5f11d,620c1a75f64f7e941685034d,$1.74,174.0,58.0,4.0,4.0,2,tu,tu,1.0,0.0,{},1644960819216.0,1644960819217.0,1899.0,1898.0,921,977.0,1644960489296.0,1644960821115.0,,,,,,False,False,False,False,True,False
2857,620c1c35abf993472117249c,run1,quiz,False,G37,,,,5ae203d63cb5b0000185ccc7,61df8999cc7c1c6984f5f11d,620c1a37da7f4e2ae55104ba,$1.08,108.0,36.0,1.0,1.0,4,sa,sa,1.0,0.0,{},1644960818421.0,1644960818421.0,2920.0,2920.0,1841,1079.0,1644960576637.0,1644960821341.0,,,,,,False,False,False,False,True,False
2858,620c1c36abf993472117249d,run1,quiz,False,G38,,,,5c851854f9d18a00165561b6,61df8999cc7c1c6984f5f11d,620c19b64c6867defd6994b5,$0.81,81.0,27.0,7.0,7.0,4,ku-ne,kune,1.0,0.0,{},1644960813243.0,1644960813243.0,3149.0,3149.0,1430,1719.0,1644960584096.0,1644960816392.0,,,,,,False,False,False,False,True,False
2859,620c1c38abf993472117249e,run1,quiz,False,G37,,,,5ae203d63cb5b0000185ccc7,61df8999cc7c1c6984f5f11d,620c1a37da7f4e2ae55104ba,$1.11,111.0,37.0,2.0,2.0,4,no,no,1.0,0.0,{},1644960822344.0,1644960822344.0,1755.0,1755.0,1159,596.0,1644960576637.0,1644960824099.0,,,,,,False,False,False,False,True,False
2860,620c1c38abf993472117249f,run1,quiz,False,G38,,,,5c851854f9d18a00165561b6,61df8999cc7c1c6984f5f11d,620c19b64c6867defd6994b5,$0.84,84.0,28.0,1.0,1.0,4,ha,ha,1.0,0.0,{},1644960817395.0,1644960817395.0,2812.0,2812.0,2369,443.0,1644960584096.0,1644960820207.0,,,,,,False,False,False,False,True,False
2861,620c1c38abf99347211724a0,run1,quiz,True,G34,,,,5c7fbdeecd2fed00106e918a,61df8999cc7c1c6984f5f11d,620c1a75f64f7e941685034d,$1.77,177.0,59.0,5.0,5.0,2,tu-se,tuse,1.0,0.0,{},1644960822120.0,1644960822120.0,2406.0,2406.0,1078,1328.0,1644960489296.0,1644960824526.0,,,,,,False,False,False,False,True,False
2862,620c1c38abf99347211724a1,run1,quiz,False,G36,,,,5e6a3e3d265930022e81c70b,61df8999cc7c1c6984f5f11d,620c1a61499992ed14a40bdc,$1.47,147.0,49.0,5.0,5.0,5,no,no,1.0,0.0,{},1644960821880.0,1644960821880.0,2771.0,2771.0,1461,1310.0,1644960501094.0,1644960824651.0,,,,,,False,False,False,False,True,False
2863,620c1c3aabf99347211724a2,run1,quiz,False,G33,,,,60a78f10810fb961978e053d,61df8999cc7c1c6984f5f11d,620c1a4e4fbad27346561f3f,$1.11,111.0,37.0,2.0,2.0,4,he,he,1.0,0.0,{},1644960819311.0,1644960819311.0,5803.0,5803.0,3565,2238.0,1644960456166.0,1644960825114.0,,,,,,False,False,False,False,True,False
2864,620c1c3aabf99347211724a3,run1,quiz,False,G37,,,,5ae203d63cb5b0000185ccc7,61df8999cc7c1c6984f5f11d,620c1a37da7f4e2ae55104ba,$1.14,114.0,38.0,3.0,3.0,4,ti,ti,1.0,0.0,{},1644960825101.0,1644960825101.0,1190.0,1190.0,458,732.0,1644960576637.0,1644960826291.0,,,,,,False,False,False,False,True,False
2865,620c1c3babf99347211724a4,run1,quiz,True,G34,,,,5c7fbdeecd2fed00106e918a,61df8999cc7c1c6984f5f11d,620c1a75f64f7e941685034d,$1.8,180.0,60.0,6.0,6.0,2,tu-ho,tuho,1.0,0.0,{},1644960825529.0,1644960825529.0,2205.0,2205.0,835,1370.0,1644960489296.0,1644960827734.0,,,,,,False,False,False,False,True,False
2866,620c1c3dabf99347211724a5,run1,quiz,False,G38,,,,5c851854f9d18a00165561b6,61df8999cc7c1c6984f5f11d,620c19b64c6867defd6994b5,$0.87,87.0,29.0,2.0,2.0,4,to,to,1.0,0.0,{},1644960821209.0,1644960821209.0,3902.0,3902.0,1748,2154.0,1644960584096.0,1644960825111.0,,,,,,False,False,False,False,True,False
2867,620c1c3dabf99347211724a6,run1,quiz,False,G37,,,,5ae203d63cb5b0000185ccc7,61df8999cc7c1c6984f5f11d,620c1a37da7f4e2ae55104ba,$1.17,117.0,39.0,4.0,4.0,4,he,he,1.0,0.0,{},1644960827300.0,1644960827300.0,2447.0,2447.0,1379,1068.0,1644960576637.0,1644960829747.0,,,,,,False,False,False,False,True,False
2868,620c1c3eabf99347211724a7,run1,tutorial,False,G35,,,,5a74e93feea3d300016dd8ca,61df8999cc7c1c6984f5f11d,620c1a336fb6920b3ee0dbdb,$1.59,159.0,54.0,0.0,10.0,3,nu-nu-sa,nunusa,1.0,0.0,{},1644960817830.0,1644960817830.0,12952.0,12952.0,11844,1108.0,1644960481079.0,1644960830782.0,,,,,,False,False,False,False,True,False
2869,620c1c3fabf99347211724a8,run1,quiz,False,G36,,,,5e6a3e3d265930022e81c70b,61df8999cc7c1c6984f5f11d,620c1a61499992ed14a40bdc,$1.5,150.0,50.0,6.0,6.0,5,no-tu,notu,1.0,0.0,{},1644960825654.0,1644960825654.0,6071.0,6071.0,3414,2657.0,1644960501094.0,1644960831725.0,,,,,,False,False,False,False,True,False
2870,620c1c40abf99347211724a9,run1,quiz,False,G33,,,,60a78f10810fb961978e053d,61df8999cc7c1c6984f5f11d,620c1a4e4fbad27346561f3f,$1.14,114.0,38.0,3.0,3.0,4,nu,nu,1.0,0.0,{},1644960826121.0,1644960826121.0,5111.0,5111.0,2683,2428.0,1644960456166.0,1644960831232.0,,,,,,False,False,False,False,True,False
2871,620c1c40abf99347211724aa,run1,quiz,True,G34,,,,5c7fbdeecd2fed00106e918a,61df8999cc7c1c6984f5f11d,620c1a75f64f7e941685034d,$1.83,183.0,61.0,7.0,7.0,2,tu-ho-se,tuhose,1.0,0.0,{},1644960828738.0,1644960828738.0,4136.0,4136.0,1149,2987.0,1644960489296.0,1644960832874.0,,,,,,False,False,False,False,True,False
2872,620c1c41abf99347211724ab,run1,quiz,False,G37,,,,5ae203d63cb5b0000185ccc7,61df8999cc7c1c6984f5f11d,620c1a37da7f4e2ae55104ba,$1.2,120.0,40.0,5.0,5.0,4,he-sa,hesa,1.0,0.0,{},1644960830750.0,1644960830750.0,2497.0,2497.0,877,1620.0,1644960576637.0,1644960833247.0,,,,,,False,False,False,False,True,False
2873,620c1c41abf99347211724ac,run1,quiz,False,G38,,,,5c851854f9d18a00165561b6,61df8999cc7c1c6984f5f11d,620c19b64c6867defd6994b5,$0.9,90.0,30.0,3.0,3.0,4,ne,ne,1.0,0.0,{},1644960826113.0,1644960826113.0,3199.0,3199.0,1407,1792.0,1644960584096.0,1644960829312.0,,,,,,False,False,False,False,True,False
2874,620c1c43abf99347211724ad,run1,quiz,False,G35,,,,5a74e93feea3d300016dd8ca,61df8999cc7c1c6984f5f11d,620c1a336fb6920b3ee0dbdb,$1.62,162.0,54.0,0.0,10.0,3,nu-nu-sa,nunusa,1.0,0.0,{},1644960831800.0,1644960831800.0,3316.0,3316.0,1898,1418.0,1644960481079.0,1644960835116.0,,,,,,False,False,False,False,True,False
2875,620c1c43abf99347211724ae,run1,quiz,True,G34,,,,5c7fbdeecd2fed00106e918a,61df8999cc7c1c6984f5f11d,620c1a75f64f7e941685034d,$1.86,186.0,62.0,8.0,8.0,2,ka,ka,1.0,0.0,{},1644960833879.0,1644960833879.0,1338.0,1338.0,730,608.0,1644960489296.0,1644960835217.0,,,,,,False,False,False,False,True,False
2876,620c1c44abf99347211724af,run1,quiz,False,G36,,,,5e6a3e3d265930022e81c70b,61df8999cc7c1c6984f5f11d,620c1a61499992ed14a40bdc,$1.53,153.0,51.0,7.0,7.0,5,no-hi,nohi,1.0,0.0,{},1644960832727.0,1644960832727.0,3552.0,3552.0,1218,2334.0,1644960501094.0,1644960836279.0,,,,,,False,False,False,False,True,False
2877,620c1c44abf99347211724b0,run1,quiz,False,G33,,,,60a78f10810fb961978e053d,61df8999cc7c1c6984f5f11d,620c1a4e4fbad27346561f3f,$1.17,117.0,39.0,4.0,4.0,4,ti,ti,1.0,0.0,{},1644960832237.0,1644960832237.0,3795.0,3795.0,1647,2148.0,1644960456166.0,1644960836032.0,,,,,,False,False,False,False,True,False
2878,620c1c44abf99347211724b1,run1,quiz,False,G38,,,,5c851854f9d18a00165561b6,61df8999cc7c1c6984f5f11d,620c19b64c6867defd6994b5,$0.93,93.0,31.0,4.0,4.0,4,ku,ku,1.0,0.0,{},1644960830315.0,1644960830315.0,2509.0,2509.0,1095,1414.0,1644960584096.0,1644960832824.0,,,,,,False,False,False,False,True,False
2879,620c1c45abf99347211724b2,run1,quiz,False,G37,,,,5ae203d63cb5b0000185ccc7,61df8999cc7c1c6984f5f11d,620c1a37da7f4e2ae55104ba,$1.23,123.0,41.0,6.0,6.0,4,he-no,heno,1.0,0.0,{},1644960834249.0,1644960834249.0,2756.0,2756.0,945,1811.0,1644960576637.0,1644960837005.0,,,,,,False,False,False,False,True,False
2880,620c1c46abf99347211724b3,run1,quiz,True,G34,,,,5c7fbdeecd2fed00106e918a,61df8999cc7c1c6984f5f11d,620c1a75f64f7e941685034d,$1.89,189.0,63.0,9.0,9.0,2,ka-se,kase,1.0,0.0,{},1644960836221.0,1644960836221.0,2045.0,2045.0,776,1269.0,1644960489296.0,1644960838266.0,,,,,,False,False,False,False,True,False
2881,620c1c49abf99347211724b4,run1,quiz,True,G35,,,,5a74e93feea3d300016dd8ca,61df8999cc7c1c6984f5f11d,620c1a336fb6920b3ee0dbdb,$1.65,165.0,55.0,1.0,1.0,3,sa,sa,1.0,0.0,{},1644960836129.0,1644960836129.0,4997.0,4997.0,4565,432.0,1644960481079.0,1644960841126.0,,,,,,False,False,False,False,True,False
2882,620c1c49abf99347211724b5,run1,quiz,False,G36,,,,5e6a3e3d265930022e81c70b,61df8999cc7c1c6984f5f11d,620c1a61499992ed14a40bdc,$1.56,156.0,52.0,8.0,8.0,5,no-ka,noka,1.0,0.0,{},1644960837281.0,1644960837281.0,4032.0,4032.0,2123,1909.0,1644960501094.0,1644960841313.0,,,,,,False,False,False,False,True,False
2883,620c1c49abf99347211724b6,run1,quiz,False,G38,,,,5c851854f9d18a00165561b6,61df8999cc7c1c6984f5f11d,620c19b64c6867defd6994b5,$0.96,96.0,32.0,5.0,5.0,4,ku-ha,kuha,1.0,0.0,{},1644960833826.0,1644960833826.0,3549.0,3549.0,1992,1557.0,1644960584096.0,1644960837375.0,,,,,,False,False,False,False,True,False
2884,620c1c49abf99347211724b7,run1,quiz,True,G34,,,,5c7fbdeecd2fed00106e918a,61df8999cc7c1c6984f5f11d,620c1a75f64f7e941685034d,$1.92,192.0,64.0,0.0,10.0,2,ka-ho,kaho,1.0,0.0,{},1644960839271.0,1644960839271.0,2300.0,2300.0,751,1549.0,1644960489296.0,1644960841571.0,,,,,,False,False,False,False,True,False
